Posizionamento_Disciplina,Squadra,Punti,anno,disciplina,PtTotaliOlimpiade,Posizionamento_Olimpiade
1,GUY DE MONTFORT,30,2025,Ballo,350,24
2,OTELLO,25,2025,Ballo,470,3
3,ALFREDO,21,2025,Ballo,470,2
4,LUISA MILLER,18,2025,Ballo,277,79
5,ZAMORO,16,2025,Ballo,387,12
6,ALZIRA,15,2025,Ballo,300,57
7,DON ALVARO,14,2025,Ballo,240,102
8,FILIPPO II,13,2025,Ballo,326,36
9,CONTE DI VAUDEMONT,12,2025,Ballo,416,6
10,FLORA,12,2025,Ballo,299,61
11,CONTE DI WALTER,12,2025,Ballo,396,8
12,AMONASRO,12,2025,Ballo,297,64
13,MINA,12,2025,Ballo,349,25
14,DON RICCARDO,12,2025,Ballo,300,59
15,RAMFIS,12,2025,Ballo,403,7
16,ULRICA,12,2025,Ballo,326,37
17,ABIGAILLE,11,2025,Ballo,385,13
18,CASSIO,11,2025,Ballo,392,11
19,ATALIBA,11,2025,Ballo,327,35
20,IAGO,11,2025,Ballo,479,1
21,ISMAELE,11,2025,Ballo,280,76
22,ALICE,11,2025,Ballo,332,32
23,ERNANI,11,2025,Ballo,283,73
24,CONTE RICCARDO,11,2025,Ballo,329,33
25,CONTE DI LUNA,10,2025,Ballo,357,21
26,MARCOVALDO,10,2025,Ballo,451,4
27,GULNARA,10,2025,Ballo,338,29
28,SPARAFUCILE,10,2025,Ballo,362,16
29,PREZIOSILLA,10,2025,Ballo,241,101
30,OVANDO,10,2025,Ballo,312,47
31,BRIANO,10,2025,Ballo,224,106
32,LINA,10,2025,Ballo,301,56
33,VIOLETTA,10,2025,Ballo,345,26
34,CALATRAVA,10,2025,Ballo,259,92
35,DUNCANO,10,2025,Ballo,343,28
36,SELIMO,10,2025,Ballo,323,38
37,EZIO,8,2025,Ballo,394,9
38,BARDOLFO,8,2025,Ballo,248,97
39,FERRANDO,8,2025,Ballo,267,87
40,DUCA DI MANTOVA,8,2025,Ballo,307,50
41,FENTON,8,2025,Ballo,266,89
42,DOROTEA,8,2025,Ballo,301,54
43,EGBERTO,8,2025,Ballo,293,67
44,GUSMANO,8,2025,Ballo,266,88
45,AMNERIS,8,2025,Ballo,300,58
46,RODOLFO,8,2025,Ballo,317,44
47,IMELDA,8,2025,Ballo,286,72
48,ELISABETTA DI VALOIS,8,2025,Ballo,287,71
49,PAGANO,8,2025,Ballo,392,10
50,OSCAR,8,2025,Ballo,275,81
51,ELVIRA,8,2025,Ballo,279,77
52,AZUCENA,8,2025,Ballo,337,30
53,EMILIA,8,2025,Ballo,277,80
54,FORD,8,2025,Ballo,317,43
55,GISELDA,8,2025,Ballo,358,19
56,BORSA,8,2025,Ballo,302,53
57,NINETTA,8,2025,Ballo,213,107
58,RADAMÈS,8,2025,Ballo,291,69
59,AIDA,8,2025,Ballo,308,48
60,GILDA,8,2025,Ballo,315,45
61,MACBETH,7,2025,Ballo,361,17
62,MEDORA,7,2025,Ballo,288,70
63,BARBAROSSA,7,2025,Ballo,301,55
64,RUY GOMEZ,7,2025,Ballo,261,91
65,AROLDO,7,2025,Ballo,320,41
66,RAFFAELE,7,2025,Ballo,251,94
67,RENATO,7,2025,Ballo,271,84
68,DESDEMONA,7,2025,Ballo,343,27
69,LEONORA,7,2025,Ballo,297,63
70,ELENA,7,2025,Ballo,382,15
71,FALSTAFF,7,2025,Ballo,320,40
72,RODRIGO,7,2025,Ballo,291,68
73,ZACCARIA,7,2025,Ballo,384,14
74,STIFFELIO,7,2025,Ballo,307,49
75,ARRIGO,7,2025,Ballo,293,66
76,ULDINO,7,2025,Ballo,248,96
77,WURM,7,2025,Ballo,298,62
78,ABDALLO,7,2025,Ballo,281,75
79,ODABELLA,7,2025,Ballo,273,83
80,SEID,7,2025,Ballo,244,100
81,GODVINO,7,2025,Ballo,275,82
82,AMELIA,7,2025,Ballo,318,42
83,MANRICO,7,2025,Ballo,256,93
84,VICLINDA,7,2025,Ballo,251,95
85,FRA MELITONE,6,2025,Ballo,144,108
86,MACDUFF,6,2025,Ballo,355,23
87,BANCO,6,2025,Ballo,304,51
88,NABUCODONOSOR,6,2025,Ballo,328,34
89,ATTILA,6,2025,Ballo,268,86
90,PIRRO,6,2025,Ballo,233,103
91,STANKAR,6,2025,Ballo,282,74
92,ARVINO,6,2025,Ballo,438,5
93,MASSIMILIANO,6,2025,Ballo,247,98
94,RE CARLO,6,2025,Ballo,244,99
95,MALCOLM,6,2025,Ballo,360,18
96,ROLLA,6,2025,Ballo,265,90
97,GASTONE,6,2025,Ballo,355,22
98,TEBALDO,6,2025,Ballo,320,39
99,MOSER,6,2025,Ballo,230,104
100,FEDERICA,6,2025,Ballo,296,65
101,ARMINIO,6,2025,Ballo,225,105
102,CORRADO,6,2025,Ballo,358,20
103,FORESTO,6,2025,Ballo,302,52
104,GERMONT,6,2025,Ballo,312,46
105,DON CARLOS,6,2025,Ballo,337,31
106,LIDA,6,2025,Ballo,277,78
107,ROLANDO,6,2025,Ballo,300,60
108,RIGOLETTO,6,2025,Ballo,271,85
1,PAGANO,30,2025,Basket Connect 4,392,10
2,GASTONE,25,2025,Basket Connect 4,355,22
3,CONTE DI WALTER,21,2025,Basket Connect 4,396,8
4,GULNARA,18,2025,Basket Connect 4,338,29
5,EZIO,16,2025,Basket Connect 4,394,9
6,BARDOLFO,16,2025,Basket Connect 4,248,97
7,IAGO,16,2025,Basket Connect 4,479,1
8,IMELDA,16,2025,Basket Connect 4,286,72
9,MACDUFF,14,2025,Basket Connect 4,355,23
10,BANCO,14,2025,Basket Connect 4,304,51
11,GUY DE MONTFORT,14,2025,Basket Connect 4,350,24
12,TEBALDO,14,2025,Basket Connect 4,320,39
13,ISMAELE,14,2025,Basket Connect 4,280,76
