Boot_Duration_us,Sensing_Duration_us,WiFi_On_Duration_us,Transmission_Duration_us,Idle_Duration_us
1080,1050,63526,90,2471
1087,1052,63523,89,2470
1085,1170,64157,78,2470
1083,1028,63635,78,2471
1006,1009,64311,89,2470
1009,1004,64148,90,2471
1070,1029,64483,90,2470
1090,1146,64176,89,2471
1006,1009,64312,89,2470
1085,1052,63522,90,2471
1087,1178,64205,89,2471
1085,1030,63709,89,2471
1011,1009,64310,89,2471
1073,1003,64382,161,2471
1087,1051,63523,89,2470
1087,1052,63522,89,2471
1009,1004,64088,77,2471
994,1019,64193,90,2471
1073,1003,64320,90,2471
1090,1182,64135,77,2471
1070,1030,64422,77,2471
1083,1028,63635,78,2471
1076,1027,64106,78,2471
1082,1020,64203,90,2471
1086,1052,63407,89,2471
1071,1030,64483,89,2471
1091,1182,64195,90,2471
1009,1004,64150,89,2470
