Sensing duration (us),Wi-Fi On duration (us),Transmission duration (us),Idle duration (Wi-Fi OFF) (us)
1044,72219,67,1229
1014,73661,69,1150
1018,72672,67,1156
1014,73661,69,1151
1195,72728,67,1232
1018,72673,67,1155
1013,73661,69,1151
1192,72738,67,1244
1044,72218,67,1229
1015,73661,69,1151
1044,72928,67,1230
1044,73006,67,1216
1003,73670,85,1221
1032,73240,134,1241
1184,72734,112,1235
1011,73660,85,1154
1032,73018,87,1217
1014,73660,84,1152
1032,73455,85,1167
1032,73018,87,1216
1004,73670,84,1219
1022,72704,87,1225
1183,72734,87,1234
1003,73669,85,1220
1010,72695,87,1150
1012,73660,85,1151
1017,73661,85,1141
1032,73018,87,1216
