Sensing duration (us),Wi-Fi On duration (us),Transmission duration (us),Idle duration (Wi-Fi OFF - Part 1) (us),Idle duration (Wi-Fi OFF - Part 2) (us),Total Idle duration (Wi-Fi OFF) (us)
1001,72694,65,1012,147,1159
1171,72746,65,1089,146,1235
1017,73661,77,994,146,1140
1005,73669,77,1005,147,1152
1000,72695,65,1009,146,1155
1018,72244,65,1084,147,1231
1002,73669,77,1006,146,1152
1006,73663,77,1005,147,1152
1019,73254,77,1095,146,1241
1003,73670,78,1074,147,1221
1003,73670,77,1006,147,1153
1005,73670,77,1003,146,1149
1041,72884,77,1086,147,1233
1000,72695,80,1009,146,1155
1041,72884,77,1087,146,1233
1005,73669,77,1004,147,1151
1171,72746,65,1089,146,1235
1005,73663,77,1006,146,1152
1019,73031,65,1071,147,1218
1019,73031,65,1071,147,1218
1170,72753,65,1086,147,1233
1040,72888,77,1084,147,1231
1041,72884,77,1086,146,1232
1007,73662,77,1005,146,1151
1002,73668,77,1006,146,1152
1005,73668,77,1003,147,1150
1001,72695,73,1009,146,1155
1007,73663,77,1004,146,1150
