Cycle Iteration,Boot duration (us),Sensing duration (us),Wi-Fi On duration (us),Transmission duration (us),Idle duration (Wi-Fi OFF) (us)
1,1006,1013,73650,69,19699
2,1086,1088,73827,69,19785
3,1005,1013,73649,69,19699
4,1006,1012,73660,69,19699
5,993,1012,73660,69,19620
6,1089,1184,72724,67,19879
7,1003,1014,73650,69,19700
8,994,1014,73647,69,19619
9,1009,1026,72659,66,19716
10,1073,1003,73661,69,19689
11,1009,1012,72673,67,19702
12,1009,1027,72659,66,19716
13,1079,1017,72699,66,19707
14,1083,1057,72860,69,19752
15,1084,1032,72222,66,19726
16,1004,1013,73649,69,19700
17,1083,1031,72221,67,19726
18,1086,1181,73729,69,19876
19,1010,1010,73651,69,19696
20,1070,1031,73009,66,19726
21,1074,1003,73662,69,19690
22,1083,1031,72221,67,19726
23,1073,1003,73661,86,19690
24,1084,1031,72221,66,19726
25,1073,1003,73669,69,19690
26,1076,1023,72699,66,19713
27,1086,1088,73827,69,19784
