Cycle Iteration,Boot duration (us),Sensing duration (us),Wi-Fi On duration (us),Transmission duration (us),Idle duration (Wi-Fi OFF) (us)
1,1079,1046,72704,94,17330
2,999,1018,72654,68,17221
3,1089,1044,72219,95,17333
4,1003,1016,72652,74,17307
5,1085,1074,71841,69,17371
6,1091,1194,72713,95,17483
7,1001,1016,72653,69,17306
8,1075,1044,72992,95,17333
9,1002,1016,72652,75,17307
10,1002,1015,72652,74,17307
11,1090,1196,72715,67,17485
12,1074,1044,72993,67,17331
13,1003,1016,72652,69,17306
14,1002,1016,72652,74,17307
15,1073,1044,72993,67,17332
16,1002,1017,72652,75,17306
17,1031,1044,72517,92,17341
18,998,1023,72612,74,17255
19,1000,1016,72654,68,17307
20,1090,1042,72203,95,17331
21,1074,1004,72662,69,17296
22,1074,1044,72992,95,17333
23,1002,1017,72652,74,17309
24,1029,1042,72422,68,17339
25,1080,1022,72704,94,17306
26,1010,1049,72614,95,17333
27,1090,1042,72204,67,17331
28,1005,1015,72652,74,17304
29,1000,1017,72653,74,17309
30,1090,1042,72203,66,17330
31,1073,1004,72661,74,17297
